"longitude","latitude","id","group"
-114.941130912819,34.9344318675213,"etort-116","S"
-114.789412348516,35.0370528557903,"etort-117","S"
-117.665030529019,34.8434040608261,"etort-119","S"
-117.404935721569,35.1313819330441,"etort-120","S"
-115.451987780777,33.8601966910209,"etort-121","S"
-115.41679593409,33.8611744122801,"etort-122","S"
-115.420275392849,33.8770813812498,"etort-123","S"
-115.407912586117,33.8313552850971,"etort-124","S"
-115.418514933995,33.8998286753502,"etort-125","S"
-115.449039711773,33.7474894927914,"etort-126","S"
-115.441722392738,33.7676697724745,"etort-127","S"
-115.446461964082,33.7760801818634,"etort-128","S"
-115.435431393931,33.7383268042163,"etort-129","S"
-115.464000995854,35.545709343984,"etort-130","N"
-115.418288175565,35.628736540894,"etort-131","N"
-115.497695781968,35.5619653179666,"etort-132","N"
-115.427304250193,35.5387360334952,"etort-133","N"
-115.474156321932,35.5249762105857,"etort-134","N"
-115.455369081522,35.5091761125194,"etort-135","N"
-115.446146907511,35.566008911958,"etort-136","N"
-115.438190174748,35.5063403671596,"etort-137","N"
-115.510645466945,35.5591779126311,"etort-138","N"
-115.486625947935,35.5955720570323,"etort-139","N"
-115.447605541131,35.5550287677082,"etort-140","N"
-115.512007343619,35.592922054952,"etort-141","N"
-115.466762868387,35.5842949684607,"etort-142","N"
-115.490825946003,35.5081734582826,"etort-143","N"
-115.452445809331,35.4960299409373,"etort-144","N"
-115.494472500694,35.5360863794877,"etort-145","N"
-115.511928382556,35.5763143846163,"etort-146","N"
-115.428548877275,35.604357927227,"etort-147","N"
-115.250494393836,35.4975523367648,"etort-148","N"
-115.309953464072,35.5335871287251,"etort-149","N"
-115.482329075598,35.5840412398926,"etort-150","N"
-115.270426363999,35.4764553426073,"etort-151","N"
-115.308451395432,35.5158238146111,"etort-152","N"
-115.332597539246,35.5223446551117,"etort-153","N"
-115.297472739478,35.5025789981319,"etort-154","N"
-115.323640975357,35.529865531324,"etort-155","N"
-115.271977494447,35.5079862490006,"etort-156","N"
-115.453310914304,35.5899560893332,"etort-157","N"
-115.495436969441,35.5800945131889,"etort-158","N"
-115.419060821077,35.4917023026128,"etort-159","N"
-115.410489322238,35.4729815109577,"etort-161","N"
-115.438352783136,35.4814233435335,"etort-162","N"
-115.465700345367,35.5705688301088,"etort-163","N"
-115.47430425119,35.5614190780015,"etort-164","N"
-115.453407690079,35.5763168785065,"etort-166","N"
-115.429865168631,35.5776622894666,"etort-167","N"
-115.461046138197,35.5992779812068,"etort-168","N"
-115.434278453516,35.618505619874,"etort-169","N"
-115.305462484117,35.6290050236121,"etort-170","N"
-115.301938594549,35.5993042700198,"etort-172","N"
-115.302783631514,35.6193931318283,"etort-173","N"
-115.326825367405,35.6344964893688,"etort-174","N"
-115.333017120586,35.6298763886907,"etort-175","N"
-115.342780616235,35.6335270891042,"etort-176","N"
-115.345133017707,35.6169081995126,"etort-177","N"
-115.344027184864,35.6250247957622,"etort-178","N"
-115.336433322361,35.6040948284022,"etort-179","N"
-115.352195730358,35.6407422912785,"etort-180","N"
-115.343890868932,35.6508967431521,"etort-181","N"
-115.364275053591,35.6045662207528,"etort-182","N"
-115.364161680639,35.5960361598939,"etort-183","N"
-115.34428516725,35.6076919222205,"etort-184","N"
-115.344548257934,35.59599365317,"etort-185","N"
-115.32828217868,35.6679271540882,"etort-186","N"
-115.319190282177,35.594605808017,"etort-187","N"
-115.304640571447,35.4725955179171,"etort-188","N"
