"etort","PC 1","PC 2","PC 3","PC 4","PC 5","PC 6","PC 7","PC 8","PC 9","PC 10"
"etort-70",-0.0262118600089968,-0.0196466931310246,-0.030845883657475,0.0221036661537454,0.00450838393774705,0.0149713382036426,-0.00271970213752486,-0.00274323584385387,-0.00560367347745427,-0.000256111203473613
"etort-71",-0.046670556091459,0.0484699004847473,-0.00972823249036851,-0.00966559285764965,-0.00920816321170611,-0.0495346117347523,0.000551676803098691,-0.00289511555954002,0.00346077805952387,-0.0249150380866453
"etort-72",-0.0434525257163035,0.0397907593954828,-0.00951536335298986,-0.0110608709699994,-0.0101857395722698,-0.0468992211358406,-0.00165890205061476,-0.00335047268373794,0.000953482440542323,-0.0195412836101214
"etort-73",-0.0466327530879437,0.00182488400209486,-0.0187297819332155,-0.0059610162935708,-0.00373239370331259,-0.0142927806703062,-0.000830958216222574,-0.00166223175059067,-0.00142637922958558,-0.00393418901652292
"etort-74",-0.0959842302239211,-0.0496528134894489,-0.161252757314924,0.0310476968056031,-0.0123440103918864,0.0662524768492766,0.0236161148506857,0.0271392848814508,-0.0263097925696762,0.0181715476811857
"etort-75",0.0189042577403851,-0.0277547683870853,-0.00277544726325607,0.0613731590617018,0.0110165504948715,0.0068441936505265,-0.00881693216991292,-0.00760817521851714,-0.00131838566485182,-0.00218796795510557
"etort-76",0.012528168200026,-0.0230627653786791,-0.00379053919746641,0.051139922898907,0.0106848059408582,0.00272274743873612,-0.0117544537895221,-0.00159922907029823,0.00504774971802318,-0.00343803643381716
"etort-77",-0.0448125758181529,-0.0264265807232579,0.0429918880670783,-0.016021379735121,0.0109587226247307,0.00895012594521274,-0.00291644285959369,-0.00116105252441303,-0.000692695697672481,-0.0029180600539773
"etort-78",0.0574654564244062,0.0127981684200516,-0.015126911526204,-0.0211624201226443,0.0055893705891959,0.00218042704106239,-0.0048855633349947,-0.00235510353116663,-0.000494023293429457,0.0011123218064805
"etort-79",0.0466316504142578,3.88490156375824e-05,-0.0104836163673146,0.00467672286645461,-0.00266010788813385,0.000210107909171298,-0.00248698266616263,-0.00771336318181025,0.00308442118661766,-0.000193781288869564
"etort-80",0.0500872735514384,0.00206512202168008,-0.00912271006260137,0.00418158829619108,-0.00230208816436402,-0.00260759772076385,-0.00878398310639706,-0.00629410523195241,0.0013657913601448,-0.00200250733217377
"etort-81",0.0334433322057747,-0.00919680911097613,0.00673066310413854,0.0277671236368364,-0.014008551130953,-0.00501042431749574,-0.0075283980117946,-0.00775805849980602,0.00139625225438925,-0.0051125220211465
"etort-82",0.0520306856279592,-0.00787501006471727,0.00431778499053141,0.0406246320823911,-0.0256795709958077,-0.00837274128882388,-0.00963322240447506,-0.0164911774078297,0.00907808613833337,-0.00640530983272523
"etort-83",0.0384195087795434,-0.00854102559485288,0.00573395138359834,0.0240490124345909,-0.0209944874865294,-0.00575988171689999,-0.00741962292434117,-0.0118572411373507,0.0065173005663156,-0.00494014946986843
"etort-84",0.0418355041963999,-0.010400935705119,0.0156921896258519,0.0281195582461552,-0.0223911330211497,-0.00550480809541337,-0.00567967000378514,-0.00988755275325514,0.00537571444747739,-0.006669698183847
"etort-85",0.0454965654301863,-0.00770935757690874,0.00446624770670999,0.0351052531505344,-0.0261325920916814,-0.00757667065575306,-0.0104963583667469,-0.0160246584394854,0.00729195190480734,-0.0042370684811405
"etort-86",0.0656029839367605,0.0283977093673366,-0.0318038352588177,-0.0645543219611976,0.0330447260221413,0.010094732017486,-0.0200314901207657,0.00875170029963995,-0.00490309042748527,-0.00668652407336131
