etort1 etort2 DISTANCE
etort-3 etort-89 139865.4781
etort-3 etort-90 143015.0425
etort-3 etort-91 103879.8624
etort-3 etort-92 135695.7777
etort-3 etort-93 194032.2585
etort-3 etort-94 155468.8362
etort-3 etort-95 197324.5191
etort-3 etort-96 65347.21841
etort-3 etort-97 126784.2083
etort-3 etort-98 94397.05466
etort-3 etort-99 114629.2346
etort-3 etort-100 131035.1437
etort-3 etort-102 97442.73202
etort-3 etort-103 60905.15489
etort-3 etort-104 102411.2883
etort-3 etort-105 114312.4274
etort-3 etort-106 129283.4984
etort-3 etort-107 129075.3762
etort-3 etort-108 151259.7204
etort-3 etort-109 92860.92811
etort-3 etort-110 121588.9413
etort-3 etort-111 111259.0794
etort-3 etort-112 198522.2908
etort-3 etort-113 184327.9964
etort-3 etort-115 111761.8203
etort-3 etort-116 121743.7942
etort-3 etort-117 139675.2971
etort-3 etort-119 171060.7833
etort-3 etort-120 166338.0072
etort-3 etort-121 61826.15125
etort-3 etort-122 64238.56027
etort-3 etort-123 62881.92682
etort-3 etort-124 67001.89756
etort-3 etort-125 61481.91618
etort-3 etort-126 70883.75352
etort-3 etort-127 69675.27528
etort-3 etort-128 68693.63937
etort-3 etort-129 72479.42792
etort-3 etort-130 152993.0911
etort-3 etort-131 163022.5997
etort-3 etort-132 153848.8848
etort-3 etort-133 153279.3783
etort-3 etort-134 150523.6491
etort-3 etort-135 149367.526
etort-3 etort-136 155626.1882
etort-3 etort-137 149558.3561
etort-3 etort-138 153232.7508
etort-3 etort-139 157709.1295
etort-3 etort-140 154425.2718
etort-3 etort-141 156810.0398
etort-3 etort-142 157014.0354
etort-3 etort-143 148299.2751
etort-3 etort-144 148064.1939
etort-3 etort-145 151172.5893
etort-3 etort-146 155034.2656
etort-3 etort-147 160163.5946
etort-3 etort-148 154960.2211
etort-3 etort-149 156465.3172
etort-3 etort-150 156587.6522
etort-3 etort-151 152078.3093
etort-3 etort-152 154697.3856
etort-3 etort-153 154537.0398
etort-3 etort-154 153733.402
etort-3 etort-155 155614.2744
etort-3 etort-156 155209.5416
etort-3 etort-157 157968.9473
etort-3 etort-158 155839.268
etort-3 etort-159 148589.3633
etort-3 etort-161 146897.3223
etort-3 etort-162 146936.7063
etort-3 etort-163 155584.1235
etort-3 etort-164 154386.9798
etort-3 etort-166 156520.5324
etort-3 etort-167 157307.6935
etort-3 etort-168 158754.904
etort-3 etort-169 161504.2924
etort-3 etort-170 166448.8443
etort-3 etort-172 163497.0103
etort-3 etort-173 165542.7116
etort-3 etort-174 166332.4566
etort-3 etort-175 165656.8814
etort-3 etort-176 165733.0278
etort-3 etort-177 163927.8241
etort-3 etort-178 164808.0043
etort-3 etort-179 162868.3441
etort-3 etort-180 166198.0828
etort-3 etort-181 167511.7799
etort-3 etort-182 162050.4205
etort-3 etort-183 161163.1549
etort-3 etort-184 162994.5716
etort-3 etort-185 161769.2725
etort-3 etort-186 169768.273
etort-3 etort-187 162440.9779
etort-4 etort-5 41017.07608
etort-4 etort-6 134005.7776
etort-4 etort-7 155076.9215
etort-4 etort-8 141342.0113
etort-4 etort-9 96824.45931
etort-4 etort-10 177267.8673
etort-4 etort-11 124578.5936
etort-4 etort-12 140391.7813
etort-4 etort-13 49503.76645
etort-4 etort-14 71293.51848
etort-4 etort-15 266000.9963
etort-4 etort-16 66503.0242
etort-4 etort-17 331456.8798
etort-4 etort-18 127336.6555
etort-4 etort-19 25890.65725
etort-4 etort-20 25107.42779
etort-4 etort-21 172220.6541
etort-4 etort-22 161845.0648
etort-4 etort-23 111272.8805
etort-4 etort-24 151962.6757
etort-4 etort-25 134130.1431
etort-4 etort-26 109591.568
etort-4 etort-27 207564.4693
etort-4 etort-28 220926.5232
etort-4 etort-30 160808.4768
etort-4 etort-31 307866.3469
etort-4 etort-32 145532.5533
etort-4 etort-33 91817.40994
etort-4 etort-34 100236.5913
etort-4 etort-35 153937.5259
etort-4 etort-36 207084.0773
etort-4 etort-37 285663.7465
etort-4 etort-38 254165.5216
etort-4 etort-39 108760.0059
etort-4 etort-40 98429.82729
etort-4 etort-41 112643.2752
etort-4 etort-42 125451.912
etort-4 etort-43 75799.12573
etort-4 etort-44 78120.69563
etort-4 etort-45 70265.05544
etort-4 etort-46 116552.5012
