"etort1","etort2","divergence"
"etort-16","etort-28",0.20692
"etort-17","etort-28",0.223039
"etort-18","etort-28",0.193593
"etort-19","etort-28",0.199864
"etort-20","etort-28",0.202494
"etort-21","etort-28",0.18571
"etort-22","etort-28",0.186798
"etort-23","etort-28",0.195386
"etort-24","etort-28",0.192014
"etort-25","etort-28",0.194113
"etort-26","etort-28",0.204817
"etort-27","etort-28",0.188492
"etort-28","etort-28",0.121081
"etort-1","etort-30",0.208087
"etort-2","etort-30",0.214228
"etort-3","etort-30",0.213731
"etort-4","etort-30",0.214103
"etort-5","etort-30",0.210271
"etort-6","etort-30",0.211064
"etort-7","etort-30",0.202119
"etort-8","etort-30",0.20385
"etort-9","etort-30",0.209973
"etort-10","etort-30",0.212565
"etort-11","etort-30",0.211846
"etort-12","etort-30",0.201083
"etort-13","etort-30",0.213602
"etort-14","etort-30",0.215512
"etort-15","etort-30",0.201868
"etort-16","etort-30",0.217729
"etort-17","etort-30",0.200841
"etort-18","etort-30",0.213797
"etort-19","etort-30",0.213299
"etort-20","etort-30",0.214006
"etort-21","etort-30",0.211247
"etort-22","etort-30",0.211641
"etort-23","etort-30",0.211351
"etort-24","etort-30",0.21044
"etort-25","etort-30",0.216536
"etort-26","etort-30",0.210076
"etort-27","etort-30",0.214949
"etort-28","etort-30",0.214791
"etort-30","etort-30",0.127943
"etort-1","etort-31",0.204159
"etort-2","etort-31",0.226668
"etort-3","etort-31",0.227298
"etort-4","etort-31",0.228087
"etort-5","etort-31",0.225974
"etort-6","etort-31",0.224828
"etort-7","etort-31",0.21148
"etort-8","etort-31",0.216428
"etort-9","etort-31",0.226658
"etort-10","etort-31",0.224679
"etort-11","etort-31",0.224262
"etort-12","etort-31",0.204044
"etort-13","etort-31",0.226876
"etort-14","etort-31",0.228421
"etort-15","etort-31",0.186502
"etort-16","etort-31",0.230869
"etort-17","etort-31",0.165362
"etort-18","etort-31",0.227196
"etort-19","etort-31",0.228699
"etort-20","etort-31",0.229105
"etort-21","etort-31",0.224831
"etort-22","etort-31",0.224099
"etort-23","etort-31",0.22475
"etort-24","etort-31",0.222243
"etort-25","etort-31",0.22741
"etort-26","etort-31",0.226109
"etort-27","etort-31",0.227616
"etort-28","etort-31",0.227665
"etort-30","etort-31",0.204517
"etort-31","etort-31",0.109358
"etort-1","etort-32",0.210405
"etort-2","etort-32",0.205869
"etort-3","etort-32",0.203212
"etort-4","etort-32",0.20653
"etort-5","etort-32",0.202103
"etort-6","etort-32",0.202562
"etort-7","etort-32",0.203342
"etort-8","etort-32",0.196555
"etort-9","etort-32",0.200678
"etort-10","etort-32",0.206037
"etort-11","etort-32",0.206421
"etort-12","etort-32",0.206365
"etort-13","etort-32",0.202406
"etort-14","etort-32",0.207855
"etort-15","etort-32",0.212661
"etort-16","etort-32",0.208352
"etort-17","etort-32",0.214337
"etort-18","etort-32",0.20346
"etort-19","etort-32",0.207162
"etort-20","etort-32",0.20817
"etort-21","etort-32",0.204955
"etort-22","etort-32",0.206079
"etort-23","etort-32",0.208016
"etort-24","etort-32",0.205453
"etort-25","etort-32",0.210032
"etort-26","etort-32",0.199496
"etort-27","etort-32",0.207174
"etort-28","etort-32",0.207233
"etort-30","etort-32",0.207027
"etort-31","etort-32",0.217738
"etort-32","etort-32",0.127367
"etort-1","etort-33",0.212479
"etort-2","etort-33",0.202837
"etort-3","etort-33",0.202665
"etort-4","etort-33",0.201641
"etort-5","etort-33",0.197123
"etort-6","etort-33",0.200355
"etort-7","etort-33",0.206017
"etort-8","etort-33",0.199726
"etort-9","etort-33",0.193219
"etort-10","etort-33",0.201778
"etort-11","etort-33",0.203099
"etort-12","etort-33",0.210843
"etort-13","etort-33",0.200462
"etort-14","etort-33",0.206572
"etort-15","etort-33",0.220031
"etort-16","etort-33",0.204351
"etort-17","etort-33",0.221283
"etort-18","etort-33",0.203121
"etort-19","etort-33",0.203226
"etort-20","etort-33",0.201791
"etort-21","etort-33",0.202317
"etort-22","etort-33",0.201102
"etort-23","etort-33",0.2023
"etort-24","etort-33",0.202274
"etort-25","etort-33",0.204555
