EM_Tort_ID,Sample_name (collector tort ID),Date_collected,Sex,UTM_Zone,Easting,Northing,MCL_MM,Initial_Weight,Location_ID,Tissue Box,Shearing cycles,Cleaned,Sheared DNA concentration (post cleanup if applicable),uL to get 450ng,Actual ng going into lib prep,beads to add,Adapter,Lib prepped?,Lib plate well,Final lib concentration (ng/uL),Yield,Final library concentration (nM),Sent to Berk?,Lane Number,Berkeley Sample #
etort-73,2012017,04/26/12,,11N,633849,3774851,,,Sheephole Mtns,2012box,7,No,15.866,28.363,450.000,85.089,BFIDT-009,11-Jun-14,C1,1.852599053,13.59%,1.23,19-Jun-14,HSEM002,HSEM002B
etort-74,2012027,05/03/12,,11N,541538,3847186,,,Ord Rodman,2012box,7,No,13.319,33.785,450.000,101.355,BFIDT-010,11-Jun-14,D1,1.56304012,11.46%,1.21,30-Jul-14,HSEM013,HSEM013e
etort-75,2012031,05/07/12,,11N,619079,3883796,,,Kelso Wash,2012box,7,No,12.550,35.857,450.000,107.570,BFIDT-011,11-Jun-14,E1,2.119730875,15.54%,1.74,30-Jul-14,HSEM013,HSEM013f
etort-76,2012032,05/07/12,,11N,620668,3883110,,,Kelso Wash,2012box,7,No,8.133,51.000,414.775,153.000,BFIDT-012,11-Jun-14,F1,7.040239223,56.01%,5.68,19-Jun-14,HSEM002,HSEM002C
etort-77,2012037,05/10/12,,11N,618029,3840660,,,Fenner Valley,2012box,7,No,11.404,39.461,450.000,118.382,BFIDT-013,11-Jun-14,G1,3.39458759,24.89%,3.91,19-Jun-14,HSEM002,HSEM002D
etort-78,2012038,05/11/12,,11N,607629,4043935,,,NW Vegas,2012box,7,No,13.009,34.590,450.000,103.770,BFIDT-014,11-Jun-14,H1,7.654243708,56.13%,6.45,19-Jun-14,HSEM002,HSEM002E
etort-79,2012039,05/14/12,,11N,618986,3978647,,,Pahrump,2012box,7,No,18.512,24.309,450.000,72.926,BFIDT-015,11-Jun-14,A2,1.729499128,12.68%,1.19,19-Jun-14,HSEM002,HSEM002F
etort-80,2012040,05/15/12,,11N,609891,3986364,,,Pahrump,2012box,7,No,12.074,37.270,450.000,111.811,BFIDT-016,11-Jun-14,B2,4.54435086,33.33%,4.97,19-Jun-14,HSEM003,HSEM003A
etort-81,2012043,05/17/12,,11N,644952,3919121,,,Ivanpah,2012box,7,No,13.373,33.650,450.000,100.950,BFIDT-001,11-Jun-14,C2,2.274727137,16.68%,2.41,19-Jun-14,HSEM003,HSEM003B
etort-82,2012044,05/17/12,,11N,646774,3917821,,,Ivanpah,2012box,7,No,12.231,36.793,450.000,110.379,BFIDT-002,11-Jun-14,D2,4.513949664,33.10%,4.41,19-Jun-14,HSEM002,HSEM002G
etort-83,2012045,05/17/12,,11N,646700,3918477,,,Ivanpah,2012box,7,No,16.761,26.847,450.000,80.542,BFIDT-003,11-Jun-14,E2,3.554567655,26.07%,2.91,19-Jun-14,HSEM002,HSEM002H
etort-84,2012046,05/18/12,,11N,647004,3915494,,,Ivanpah,2012box,7,No,13.274,33.902,450.000,101.705,BFIDT-004,11-Jun-14,F2,5.245073511,38.46%,5.33,19-Jun-14,HSEM002,HSEM002i
etort-85,2012047,05/18/12,,11N,645039,3915768,,,Ivanpah,2012box,7,No,14.172,31.753,450.000,95.259,BFIDT-005,11-Jun-14,G2,2.614622477,19.17%,,19-Jun-14,HSEM003,HSEM003C
etort-86,2012054,05/22/12,,11N,683709,4092180,,,Kane Springs,2012box,7,No,11.731,38.360,450.000,115.081,BFIDT-006,11-Jun-14,H2,2.432713681,17.84%,,19-Jun-14,HSEM003,HSEM003D
etort-87,2012066,05/31/12,,11N,622516,3987196,,,Pahrump,2012box,7,No,15.926,28.255,450.000,84.765,BFIDT-007,11-Jun-14,A3,4.962491901,36.39%,,19-Jun-14,HSEM003,HSEM003E
etort-88,2012076,06/08/12,,11N,632168,3888950,,,Kelso Wash,2012box,7,No,13.482,33.377,450.000,100.132,BFIDT-008,11-Jun-14,B3,5.273481186,38.67%,,19-Jun-14,HSEM002,HSEM002J
etort-89,2012078,06/11/12,,11N,647923,3917776,,,Ivanpah,2012box,7,No,20.806,21.628,450.000,64.884,BFIDT-009,11-Jun-14,C3,2.193989534,16.09%,,19-Jun-14,HSEM003,HSEM003F
