"etort1","etort2","distance"
"etort-42","etort-52",61656.606949835
"etort-43","etort-52",3330.5928795496
"etort-44","etort-52",5052.15847753649
"etort-45","etort-52",17124.1065391973
"etort-52","etort-52",0
"etort-2","etort-54",161976.738030074
"etort-3","etort-54",96412.8790468137
"etort-4","etort-54",82301.8620549647
"etort-5","etort-54",45391.6659298827
"etort-6","etort-54",63844.0865662596
"etort-9","etort-54",102964.715415656
"etort-10","etort-54",197307.27470539
"etort-11","etort-54",121118.43526988
"etort-13","etort-54",130497.294305954
"etort-14","etort-54",153223.718340773
"etort-16","etort-54",54171.7026371903
"etort-18","etort-54",137508.56377143
"etort-19","etort-54",104054.740670921
"etort-20","etort-54",106862.113043258
"etort-21","etort-54",180742.863138827
"etort-22","etort-54",177313.79612752
"etort-23","etort-54",95945.7538709365
"etort-24","etort-54",135356.821093718
"etort-25","etort-54",120782.659112519
"etort-26","etort-54",119679.351914505
"etort-27","etort-54",206105.926383371
"etort-28","etort-54",215486.46173297
"etort-33","etort-54",45472.6180792802
"etort-34","etort-54",94585.1948821625
"etort-39","etort-54",97105.6430881528
"etort-40","etort-54",73046.1596544391
"etort-41","etort-54",51639.8958551644
"etort-42","etort-54",55310.1786238906
"etort-43","etort-54",6772.29795597269
"etort-44","etort-54",4707.34316590466
"etort-45","etort-54",20327.0769277868
"etort-52","etort-54",8172.18272905183
"etort-54","etort-54",0
"etort-2","etort-57",111581.012144489
"etort-3","etort-57",78854.0648553413
"etort-4","etort-57",74290.1634891888
"etort-5","etort-57",114673.818576646
"etort-6","etort-57",188902.59162428
"etort-9","etort-57",109992.410086755
"etort-10","etort-57",223286.19571456
"etort-11","etort-57",189183.328532888
"etort-13","etort-57",29173.8266167067
"etort-14","etort-57",29439.7188537288
"etort-16","etort-57",140291.305198742
"etort-18","etort-57",185581.584612793
"etort-19","etort-57",48623.2308413938
"etort-20","etort-57",50923.0056154917
"etort-21","etort-57",226034.055151109
"etort-22","etort-57",212618.20212054
"etort-23","etort-57",181002.786757256
"etort-24","etort-57",218757.227184294
"etort-25","etort-57",201236.100591941
"etort-26","etort-57",112654.729232651
"etort-27","etort-57",264014.885828138
"etort-28","etort-57",278627.372069349
"etort-33","etort-57",143282.494021487
"etort-34","etort-57",121510.772274246
"etort-39","etort-57",130850.014361506
"etort-40","etort-57",134890.30262767
"etort-41","etort-57",165558.30890295
"etort-42","etort-57",181478.68803851
"etort-43","etort-57",144012.385074671
"etort-44","etort-57",146174.18093923
"etort-45","etort-57",134148.433012895
"etort-52","etort-57",143298.243248754
"etort-54","etort-57",150784.486716947
"etort-57","etort-57",0
"etort-2","etort-60 (sheared2)",67657.3885091473
"etort-3","etort-60 (sheared2)",86002.269321329
"etort-4","etort-60 (sheared2)",106619.768434415
"etort-5","etort-60 (sheared2)",102607.781118395
"etort-6","etort-60 (sheared2)",200652.691143029
"etort-9","etort-60 (sheared2)",200669.957473655
"etort-10","etort-60 (sheared2)",70342.1253784791
"etort-11","etort-60 (sheared2)",50545.3779867946
"etort-13","etort-60 (sheared2)",128523.516558742
"etort-14","etort-60 (sheared2)",134503.052477669
"etort-16","etort-60 (sheared2)",82800.9116678381
"etort-18","etort-60 (sheared2)",33506.2372814629
"etort-19","etort-60 (sheared2)",123468.510144246
"etort-20","etort-60 (sheared2)",114425.864843991
"etort-21","etort-60 (sheared2)",68987.7711639087
"etort-22","etort-60 (sheared2)",56159.1994376987
"etort-23","etort-60 (sheared2)",65310.82647807
"etort-24","etort-60 (sheared2)",78735.3396029454
"etort-25","etort-60 (sheared2)",66424.635321304
"etort-26","etort-60 (sheared2)",214772.417549012
"etort-27","etort-60 (sheared2)",107123.229733054
"etort-28","etort-60 (sheared2)",121976.340339423
"etort-33","etort-60 (sheared2)",173289.895022839
"etort-34","etort-60 (sheared2)",201176.190140991
"etort-39","etort-60 (sheared2)",208417.319122528
"etort-40","etort-60 (sheared2)",191699.252125336
"etort-41","etort-60 (sheared2)",186951.566878825
"etort-42","etort-60 (sheared2)",192185.533456136
"etort-43","etort-60 (sheared2)",134317.468096978
"etort-44","etort-60 (sheared2)",135939.850853754
"etort-45","etort-60 (sheared2)",141415.299653135
"etort-52","etort-60 (sheared2)",131023.267562365
"etort-54","etort-60 (sheared2)",136885.687634905
"etort-57","etort-60 (sheared2)",157047.042269343
"etort-60 (sheared2)","etort-60 (sheared2)",0
"etort-2","etort-61",85356.0288836565
"etort-3","etort-61",61492.1355499401
"etort-4","etort-61",64663.7035960426
"etort-5","etort-61",105467.400567913
"etort-6","etort-61",191904.543586631
"etort-9","etort-61",124566.047955485
"etort-10","etort-61",198092.633229929
"etort-11","etort-61",168496.706578272
"etort-13","etort-61",16153.8299331464
"etort-14","etort-61",7501.90910606467
"etort-16","etort-61",126716.46551277
"etort-18","etort-61",162968.977920883
"etort-19","etort-61",43032.8589824306
"etort-20","etort-61",39595.5584812427
"etort-21","etort-61",202018.463996244
"etort-22","etort-61",188165.684741368
"etort-23","etort-61",162870.69525098
"etort-24","etort-61",198617.844453732
"etort-25","etort-61",181433.392574583
"etort-26","etort-61",130064.079223837
"etort-27","etort-61",240301.435869957
"etort-28","etort-61",255122.304025683
"etort-33","etort-61",146886.748929702
"etort-34","etort-61",134327.561642523
"etort-39","etort-61",143806.87167268
"etort-40","etort-61",143563.314279763
"etort-41","etort-61",169061.216976121
"etort-42","etort-61",183892.222416451
"etort-43","etort-61",139634.054709113
"etort-44","etort-61",141918.801828363
"etort-45","etort-61",132090.752777298
"etort-52","etort-61",138340.137133152
"etort-54","etort-61",146289.584844799
"etort-57","etort-61",26226.8872954914
"etort-60 (sheared2)","etort-61",133179.04714213
"etort-61","etort-61",0
"etort-2","etort-63",93053.5249212666
"etort-3","etort-63",30390.4575964856
"etort-4","etort-63",19949.8049312184
"etort-5","etort-63",60859.1596984344
"etort-6","etort-63",148212.355017597
"etort-9","etort-63",96610.1949745743
"etort-10","etort-63",186152.582368023
"etort-11","etort-63",139910.104704567
"etort-13","etort-63",30020.8268431624
"etort-14","etort-63",52714.8445924766
"etort-16","etort-63",85942.5672386992
