"etort1","etort2","distance"
"etort-83","etort-84",2998.7799371571
"etort-84","etort-84",0
"etort-15","etort-85",144404.679865116
"etort-17","etort-85",210724.711591735
"etort-31","etort-85",186373.318549345
"etort-36","etort-85",105716.162004143
"etort-37","etort-85",184967.049919129
"etort-38","etort-85",128446.792694324
"etort-46","etort-85",9458.76102604281
"etort-47","etort-85",8478.03484681487
"etort-48","etort-85",6429.51783497271
"etort-49","etort-85",39819.8007611066
"etort-51","etort-85",42724.406642578
"etort-53","etort-85",128866.146098274
"etort-55","etort-85",5485.08574731429
"etort-56 (sheared2)","etort-85",39166.814153076
"etort-58","etort-85",220670.127181036
"etort-59","etort-85",59912.146277171
"etort-62","etort-85",86593.6687435694
"etort-78","etort-85",133504.905140069
"etort-79","etort-85",68041.4206380101
"etort-80","etort-85",78823.0057298873
"etort-81","etort-85",3354.60011814303
"etort-82","etort-85",2684.40052504428
"etort-83","etort-85",3175.03198449587
"etort-84","etort-85",1977.78535680768
"etort-85","etort-85",0
"etort-15","etort-86",67212.4763604919
"etort-17","etort-86",76032.914386634
"etort-31","etort-86",62172.0167798992
"etort-36","etort-86",146594.109343139
"etort-37","etort-86",149382.404953894
"etort-38","etort-86",53517.732829568
"etort-46","etort-86",189997.55558484
"etort-47","etort-86",189013.783007195
"etort-48","etort-86",186988.700955984
"etort-49","etort-86",218224.639690843
"etort-51","etort-86",221902.675899846
"etort-53","etort-86",86218.0091683347
"etort-55","etort-86",186023.287052056
"etort-56 (sheared2)","etort-86",169764.11823808
"etort-58","etort-86",50244.14007673
"etort-59","etort-86",130388.815291095
"etort-62","etort-86",101660.869458625
"etort-78","etort-86",89798.2653288927
"etort-79","etort-86",130552.495198805
"etort-80","etort-86",128842.216882144
"etort-81","etort-86",177316.460168185
"etort-82","etort-86",178201.845311221
"etort-83","etort-86",177575.259979933
"etort-84","etort-86",180432.993917215
"etort-85","etort-86",180572.355104595
"etort-86","etort-86",0
"etort-15","etort-87",112009.751259177
"etort-17","etort-87",172858.516274998
"etort-31","etort-87",148645.276739536
"etort-36","etort-87",48773.0979409065
"etort-37","etort-87",116383.635022975
"etort-38","etort-87",78848.8300144324
"etort-46","etort-87",82836.9690263556
"etort-47","etort-87",82686.1123378399
"etort-48","etort-87",80326.4771533611
"etort-49","etort-87",104741.190235481
"etort-51","etort-87",108966.306324482
"etort-53","etort-87",106730.425848961
"etort-55","etort-87",79954.3504740916
"etort-56 (sheared2)","etort-87",50289.7051527863
"etort-58","etort-87",153164.178049287
"etort-59","etort-87",65890.0548563553
"etort-62","etort-87",66022.1472474882
"etort-78","etort-87",58659.0112779541
"etort-79","etort-87",9245.46262349067
"etort-80","etort-87",12604.8361003602
"etort-81","etort-87",71666.0870575462
"etort-82","etort-87",73479.6859000321
"etort-83","etort-87",72835.9574667562
"etort-84","etort-87",75755.0121764918
"etort-85","etort-87",74885.6653118901
"etort-86","etort-87",121385.920234105
"etort-87","etort-87",0
"etort-15","etort-89",141172.314692474
"etort-17","etort-89",207480.692528045
"etort-31","etort-89",183158.400377907
"etort-36","etort-89",106201.543402066
"etort-37","etort-89",185059.305760963
"etort-38","etort-89",125709.015129835
"etort-46","etort-89",12417.1835388969
"etort-47","etort-89",11126.9678626259
"etort-48","etort-89",9416.58051247096
"etort-49","etort-89",43095.4229118892
"etort-51","etort-89",45890.8315047648
"etort-53","etort-89",125509.793386359
"etort-55","etort-89",8215.79592585302
"etort-56 (sheared2)","etort-89",40536.2322376096
"etort-58","etort-89",218501.597661989
"etort-59","etort-89",56536.7110362725
"etort-62","etort-89",83426.3312709647
"etort-78","etort-89",132419.727037568
"etort-79","etort-89",67368.5292143795
"etort-80","etort-89",78377.3222448345
"etort-81","etort-89",3252.69439597818
"etort-82","etort-89",1146.16285533434
"etort-83","etort-89",1406.32667241412
"etort-84","etort-89",2459.17428554778
"etort-85","etort-89",3506.52186347059
"etort-86","etort-89",178012.994037079
"etort-87","etort-89",73906.5243395679
"etort-89","etort-89",0
"etort-15","etort-90",138109.074770177
"etort-17","etort-90",204424.697898694
"etort-31","etort-90",180086.097046178
"etort-36","etort-90",104767.4472902
"etort-37","etort-90",183284.459284363
"etort-38","etort-90",122558.089982971
"etort-46","etort-90",15540.9526223232
"etort-47","etort-90",14279.2444515057
"etort-48","etort-90",12525.0403399123
"etort-49","etort-90",46126.1011119657
"etort-51","etort-90",48977.8988919601
"etort-53","etort-90",122543.976765205
"etort-55","etort-90",11355.8308407507
