"etort1","etort2","covariance"
"etort-94","etort-131",0.00149
"etort-95","etort-131",0.002901
"etort-112","etort-131",0.001379
"etort-113","etort-131",0.001102
"etort-130","etort-131",0.003171
"etort-131","etort-131",0.136348
"etort-15","etort-132",0.00265
"etort-17","etort-132",0.002425
"etort-31","etort-132",0.00408
"etort-36","etort-132",0.00217
"etort-37","etort-132",0.003261
"etort-38","etort-132",0.002877
"etort-46","etort-132",0.001343
"etort-47","etort-132",0.001506
"etort-48","etort-132",0.001347
"etort-49","etort-132",0.001143
"etort-51","etort-132",0.000854
"etort-53","etort-132",0.002954
"etort-55","etort-132",0.001541
"etort-56 (sheared2)","etort-132",0.001649
"etort-58","etort-132",0.003432
"etort-59","etort-132",0.000626
"etort-62","etort-132",0.002432
"etort-78","etort-132",0.002322
"etort-79","etort-132",0.002207
"etort-80","etort-132",0.002236
"etort-81","etort-132",0.001771
"etort-82","etort-132",0.002799
"etort-83","etort-132",0.001805
"etort-84","etort-132",0.002034
"etort-85","etort-132",0.002308
"etort-86","etort-132",0.002537
"etort-87","etort-132",0.002004
"etort-89","etort-132",0.001986
"etort-90","etort-132",0.003801
"etort-93","etort-132",0.002196
"etort-94","etort-132",0.001417
"etort-95","etort-132",0.002849
"etort-112","etort-132",0.001089
"etort-113","etort-132",0.001181
"etort-130","etort-132",0.003252
"etort-131","etort-132",0.003148
"etort-132","etort-132",0.146476
"etort-15","etort-133",0.002075
"etort-17","etort-133",0.001727
"etort-31","etort-133",0.003185
"etort-36","etort-133",0.001877
"etort-37","etort-133",0.002672
"etort-38","etort-133",0.002071
"etort-46","etort-133",0.001422
"etort-47","etort-133",0.000928
"etort-48","etort-133",0.000989
"etort-49","etort-133",0.001169
"etort-51","etort-133",0.000902
"etort-53","etort-133",0.002419
"etort-55","etort-133",0.001297
"etort-56 (sheared2)","etort-133",0.000972
"etort-58","etort-133",0.002607
"etort-59","etort-133",0.000442
"etort-62","etort-133",0.002274
"etort-78","etort-133",0.001985
"etort-79","etort-133",0.001735
"etort-80","etort-133",0.001781
"etort-81","etort-133",0.001441
"etort-82","etort-133",0.002496
"etort-83","etort-133",0.001535
"etort-84","etort-133",0.001673
"etort-85","etort-133",0.002044
"etort-86","etort-133",0.001788
"etort-87","etort-133",0.001653
"etort-89","etort-133",0.002155
"etort-90","etort-133",0.003475
"etort-93","etort-133",0.001909
"etort-94","etort-133",0.001592
"etort-95","etort-133",0.002381
"etort-112","etort-133",0.001275
"etort-113","etort-133",0.00073
"etort-130","etort-133",0.002331
"etort-131","etort-133",0.002607
"etort-132","etort-133",0.002888
"etort-133","etort-133",0.145164
"etort-15","etort-134",0.002419
"etort-17","etort-134",0.002004
"etort-31","etort-134",0.003504
"etort-36","etort-134",0.00219
"etort-37","etort-134",0.002729
"etort-38","etort-134",0.002315
"etort-46","etort-134",0.001563
"etort-47","etort-134",0.001433
"etort-48","etort-134",0.001293
"etort-49","etort-134",0.001231
"etort-51","etort-134",0.000514
"etort-53","etort-134",0.002461
"etort-55","etort-134",0.001746
"etort-56 (sheared2)","etort-134",0.001436
"etort-58","etort-134",0.002935
"etort-59","etort-134",0.000555
"etort-62","etort-134",0.002217
"etort-78","etort-134",0.00185
"etort-79","etort-134",0.002016
"etort-80","etort-134",0.002163
"etort-81","etort-134",0.00168
"etort-82","etort-134",0.002467
"etort-83","etort-134",0.002215
"etort-84","etort-134",0.0023
"etort-85","etort-134",0.002359
"etort-86","etort-134",0.002041
"etort-87","etort-134",0.001957
"etort-89","etort-134",0.001991
"etort-90","etort-134",0.003767
"etort-93","etort-134",0.001898
"etort-94","etort-134",0.001707
"etort-95","etort-134",0.002509
"etort-112","etort-134",0.00072
"etort-113","etort-134",0.000904
"etort-130","etort-134",0.002612
"etort-131","etort-134",0.003034
"etort-132","etort-134",0.002876
"etort-133","etort-134",0.002849
"etort-134","etort-134",0.143885
"etort-15","etort-135",0.002665
"etort-17","etort-135",0.00213
"etort-31","etort-135",0.003713
"etort-36","etort-135",0.00225
"etort-37","etort-135",0.003271
"etort-38","etort-135",0.002743
"etort-46","etort-135",0.00148
"etort-47","etort-135",0.001606
"etort-48","etort-135",0.00139
"etort-49","etort-135",0.001153
"etort-51","etort-135",0.001245
"etort-53","etort-135",0.002719
"etort-55","etort-135",0.001664
"etort-56 (sheared2)","etort-135",0.001661
