"etort1","etort2","DISTANCE","pi","npi"
"etort-1","etort-175",194.7027909,0.204413,0.242414663625036
"etort-1","etort-176",193.8122382,0.203171,0.241825701750655
"etort-1","etort-177",195.0535857,0.204167,0.242285249311519
"etort-1","etort-178",194.4435221,0.204955,0.243629810190052
"etort-1","etort-179",196.6424302,0.205127,0.243335004066263
"etort-1","etort-180",192.6475245,0.20366,0.242765158162188
"etort-1","etort-181",192.3089528,0.206644,0.243822528413198
"etort-1","etort-182",194.9527486,0.203465,0.242630332964571
"etort-1","etort-183",195.6789818,0.208027,0.244529072782983
"etort-1","etort-184",195.8741537,0.206079,0.24275062612294
"etort-1","etort-185",196.8391759,0.204773,0.24201085490037
"etort-1","etort-186",191.8639212,0.203965,0.244177877222319
"etort-1","etort-187",198.463486,0.205854,0.242744270799022
"etort-2","etort-3",72.56427237,0.19475,0.222201481486315
"etort-2","etort-4",96.04851298,0.194631,0.220051743752382
"etort-2","etort-5",117.621442,0.202129,0.225914913957944
"etort-2","etort-6",223.0579023,0.20806,0.229450634904479
"etort-2","etort-7",240.3740588,0.212582,0.238788476824486
"etort-2","etort-8",220.7872613,0.205887,0.230264357519533
"etort-2","etort-9",189.8597813,0.198839,0.230263130149898
"etort-2","etort-10",118.7283023,0.19824,0.240560522098647
"etort-2","etort-11",116.4831675,0.20164,0.23224091767518
"etort-2","etort-12",194.20679,0.213929,0.240142221572009
"etort-2","etort-13",88.5633429,0.195262,0.227574025706919
"etort-2","etort-14",83.48636877,0.194688,0.226791642172584
"etort-2","etort-15",340.5194314,0.220773,0.265045103411177
"etort-2","etort-16",116.3050555,0.203978,0.222421907391507
"etort-2","etort-17",406.9729297,0.220868,0.277279476457246
"etort-2","etort-18",101.1002376,0.19701,0.229088784181447
"etort-2","etort-19",98.14209756,0.194779,0.222097751595544
"etort-2","etort-20",87.6494006,0.195795,0.222994416453184
"etort-2","etort-21",129.1762867,0.197968,0.237171187159328
"etort-2","etort-22",113.4649439,0.197201,0.236675740474317
"etort-2","etort-23",124.3351674,0.203011,0.229667964770782
"etort-2","etort-24",145.9108437,0.201043,0.234641135530358
"etort-2","etort-25",132.1897607,0.204667,0.23245977447697
"etort-2","etort-26",200.2514667,0.200839,0.233898486956791
"etort-2","etort-27",167.6752404,0.201125,0.2409164086048
"etort-2","etort-28",183.1040193,0.203959,0.245236104007686
"etort-2","etort-30",241.7991141,0.214228,0.241503094522409
"etort-2","etort-31",382.4539113,0.226668,0.27522914818927
"etort-2","etort-32",229.4057242,0.205869,0.230483311595624
"etort-2","etort-33",185.090186,0.202837,0.22671347196284
"etort-2","etort-34",195.1823516,0.203228,0.231979906656722
"etort-2","etort-35",232.0781365,0.208472,0.232021900293717
"etort-2","etort-36",241.7519947,0.221808,0.25871929025163
"etort-2","etort-37",309.0167496,0.222404,0.273473787466573
"etort-2","etort-38",320.40346,0.223427,0.26295674563855
"etort-2","etort-39",204.0538845,0.201596,0.229842721116217
"etort-2","etort-40",194.4239732,0.20238,0.227545126701552
"etort-2","etort-41",204.0623532,0.206163,0.226260436256883
"etort-2","etort-42",214.2368395,0.204159,0.22997280039625
"etort-2","etort-43",157.1544448,0.203156,0.224164432666004
