"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","hab.fact","score","dir"
8.5331e-08,4010.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0904,41299.1413,1183708644,32,579722.7,"./run_646859/iter_742490"
9.6286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,1835311374,32,581449,"./run_847271/iter_394370"
8.4331e-08,5308.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1365093954,32,585992.1,"./run_847271/iter_537699"
8.4331e-08,4010.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0904,41299.1413,1284407012,32,596387.1,"./run_646859/iter_570537"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7202.3346,13249.1954,0.6705,43273.2948,89959367,32,596455,"./run_847271/iter_755593"
9.5286e-08,6826.3963,492558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,1820435666,32,596695.2,"./run_847271/iter_949921"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124541.5664,112793.105,13595.2411,0.7311,43331.5992,1289589822,32,597220.9,"./run_847271/iter_606666"
8.6112e-08,5639.1776,538610.9194,604501.8188,3850765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,1924032920,32,600873,"./run_847271/iter_127580"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.711,43266.1273,62307644,32,600964,"./run_847271/iter_889722"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7301,43331.5992,1571518897,32,604929.5,"./run_847271/iter_122808"
8.4331e-08,4010.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0914,41299.1413,44184019,32,605119.7,"./run_646859/iter_181079"
9.5286e-08,6826.3963,491558.0597,660075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,1003657501,32,608703.3,"./run_847271/iter_793502"
6.0455e-08,7257.6876,649996.097,490010.2314,3987707.9117,3763727.6998,173472.6022,6567.0551,15356.4594,0.43,38962.7661,1196800951,32,611951,"./run_847271/iter_000062"
8.4331e-08,4010.021,426015.8851,680993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0904,41299.1413,358439987,32,617004,"./run_646859/iter_318444"
3.0026e-07,14540.4302,522007.4045,394018.712,4083699.431,3987707.9117,73010.2973,17236.3151,11675.1886,0.2628,28659.9761,1652019505,32,618402.7,"./run_015059/iter_000061"
1.1962e-07,4087.8458,617998.9238,362021.5389,4019705.0848,4115696.6041,103744.9402,8769.3041,14369.9697,0.8093,43057.792,467933142,32,627014.7,"./run_847271/iter_000097"
