"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","ntrees","hab.fact"
8.3342e-08,5418.5302,547430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7198,43290.7253,731183065,421650.7,"./run_847271/iter_547950",500,32
8.4747e-08,5468.1897,545407.1716,596267.39,3846085.8465,3989137.436,123447.3133,109151.5712,13441.9357,0.7221,43298.1655,724474589,422390.8,"./run_847271/iter_380792",500,32
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112893.105,13595.2411,0.7311,43331.5992,923467437,422535.9,"./run_847271/iter_047642",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3970123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1932704575,423018.2,"./run_847271/iter_497493",500,32
8.4357e-08,5433.6213,546947.2554,593149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,1967957537,423114.7,"./run_847271/iter_239026",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13645.0299,0.7213,43257.5163,129122644,423211.6,"./run_847271/iter_545237",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7203,43257.5163,235316410,423682.6,"./run_847271/iter_138902",500,32
8.4357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13310.3217,0.72,43287.7147,1641898619,423686.1,"./run_847271/iter_504159",500,32
8.4332e-08,5409.6388,547714.875,593544.0975,3841161.0854,3980230.4298,123143.7131,109437.9499,13388.9793,0.7197,43292.4991,217260142,423727.6,"./run_847271/iter_531588",500,32
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,14093.6725,0.726,43156.9415,1650824568,423808.5,"./run_847271/iter_903647",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3990123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1935739091,424655.6,"./run_847271/iter_602969",500,32
8.5334e-08,5409.8833,547705.2403,593555.4673,3841181.6464,3980267.6167,123045.3981,109436.3367,13389.2004,0.7197,43292.5228,1757918761,424699.4,"./run_847271/iter_827768",500,32
8.5048e-08,6089.1335,526965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1492347544,425170.9,"./run_847271/iter_617049",500,32
8.3117e-08,5251.6236,553970.7876,586033.8834,3817690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,951322861,425178.4,"./run_847271/iter_653719",500,32
