"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","hab.fact","ntrees"
1.7786e-07,21772.0871,586001.7507,522007.4045,3859719.2192,4051702.2579,64145.9442,4044.5845,11171.1875,0.7642,63560.1058,931737595,448367,"./run_076982/iter_000041",32,500
8.343e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,1935051856,448490.5,"./run_847271/iter_177706",32,500
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123338.4579,107418.3988,13428.9431,0.7201,43283.5402,1022539137,449527.8,"./run_847271/iter_951906",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3817722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,78699043,450170.8,"./run_847271/iter_980199",32,500
8.4379e-08,5454.5461,546277.5031,594678.524,3854207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,225579211,450672.5,"./run_847271/iter_193981",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43173.2948,1820374304,451692.9,"./run_847271/iter_378410",32,500
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,1077371537,452048.5,"./run_847271/iter_554460",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43256.9415,404743309,452534.1,"./run_847271/iter_276580",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125890.4072,78880.0249,13993.6725,0.726,43156.9415,1287433323,453286,"./run_847271/iter_214480",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13347.0009,0.712,43266.1273,895313019,454175.9,"./run_847271/iter_265232",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129777.6875,14662.0277,0.7894,43532.1635,1712397587,455082.9,"./run_847271/iter_111310",32,500
8.443e-08,5502.2256,544751.4009,596882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,408201388,455425.8,"./run_847271/iter_558231",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78780.0249,13993.6725,0.726,43156.9415,202715090,456009.3,"./run_847271/iter_137582",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43392.6738,630454570,457157.2,"./run_847271/iter_400075",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13149.1954,0.6705,43273.2948,1408873356,457277.7,"./run_847271/iter_426829",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3945751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1377362123,457402.6,"./run_847271/iter_676927",32,500
8.4517e-08,5584.993,542102.2195,598973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,150633705,458025.1,"./run_847271/iter_931850",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132794.1258,129877.6875,14662.0277,0.7894,43532.1635,497176948,458328.7,"./run_847271/iter_007427",32,500
8.4048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,80677845,458589,"./run_847271/iter_136879",32,500
8.2117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,459879145,459712.3,"./run_847271/iter_190886",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43632.1635,820522570,460294.9,"./run_847271/iter_902216",32,500
8.4357e-08,5433.6213,546947.2554,595149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,1014178163,461463,"./run_847271/iter_512579",32,500
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13328.9431,0.7201,43283.5402,1960525624,461497.2,"./run_847271/iter_866751",32,500
8.4357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,1314106526,461895.5,"./run_847271/iter_221782",32,500
9.5286e-08,6726.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,570425665,465859.9,"./run_847271/iter_777122",32,500
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43183.5402,630796921,467544.5,"./run_847271/iter_212431",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3831101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,343770525,467654.3,"./run_847271/iter_530664",32,500
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105374.1787,13471.3738,0.7206,43274.0283,1992191553,468178.3,"./run_847271/iter_710404",32,500
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13288.1999,0.7197,43292.6738,461428485,468905.1,"./run_847271/iter_797642",32,500
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13371.3738,0.7206,43274.0283,999084921,469581.7,"./run_847271/iter_403248",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.713,43266.1273,1492938903,470041.1,"./run_847271/iter_934130",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,286420595,470661.8,"./run_847271/iter_043141",32,500
8.3357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,211191922,471583.4,"./run_847271/iter_409806",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14562.0277,0.7894,43532.1635,1616222480,472099.1,"./run_847271/iter_754512",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,903402348,472467.9,"./run_847271/iter_024487",32,500
8.3131e-08,5252.4936,553004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1770226367,474839.4,"./run_847271/iter_232904",32,500
8.6048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,993575110,474996.8,"./run_847271/iter_905105",32,500
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7402.3346,13249.1954,0.6705,43273.2948,1959903190,475810.8,"./run_847271/iter_356352",32,500
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43174.0283,332236091,476844.2,"./run_847271/iter_758766",32,500
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43431.5992,484688200,479581.3,"./run_847271/iter_720657",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14762.0277,0.7894,43532.1635,171633376,480106.3,"./run_847271/iter_121007",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7884,43532.1635,1023141093,481670.8,"./run_847271/iter_292844",32,500
8.6112e-08,5639.1776,537610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,584443302,484118.4,"./run_847271/iter_649504",32,500
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13147.0009,0.712,43266.1273,1740666431,484698.5,"./run_847271/iter_616886",32,500
8.4379e-08,5454.5461,546277.5031,595678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,1632363786,485318.4,"./run_847271/iter_167415",32,500
8.5517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,195580493,486160.3,"./run_847271/iter_911479",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132994.1258,129877.6875,14662.0277,0.7894,43532.1635,1112088756,488665.8,"./run_847271/iter_299095",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3897252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,115414720,489018.5,"./run_847271/iter_476652",32,500
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43056.9415,86679012,490041.6,"./run_847271/iter_360545",32,500
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4190000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,1703408046,490439.4,"./run_847271/iter_250538",32,500
8.4379e-08,5454.5461,546277.5031,594678.524,3834207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,1822513121,491768.2,"./run_847271/iter_996424",32,500
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112693.105,13595.2411,0.7311,43331.5992,1916067876,491994.7,"./run_847271/iter_202334",32,500
9.5286e-08,6826.3963,490558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,101021892,493997.5,"./run_847271/iter_870186",32,500
8.4379e-08,5454.5461,545277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,660575156,494095.4,"./run_847271/iter_117856",32,500
8.4331e-08,4010.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1799.5705,7896.4082,1.0904,41299.1413,201397634,497155.3,"./run_646859/iter_221381",32,500
1.1726e-07,13669.1336,713990.4432,713990.4432,4051702.2579,3795724.8729,139976.5135,14159.1834,3523.0331,0.3917,102975.6157,1479185108,497734.7,"./run_321810/iter_000025",32,500
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,4001516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,362346680,498293.3,"./run_847271/iter_659683",32,500
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101651.9984,13545.0299,0.7213,43257.5163,1318589053,501685.1,"./run_847271/iter_406249",32,500
